stage	kind	examples	characters
1	arithmetic	64186	1184212
2	boolean	12070	347185
2	compare	12104	371833
2	let-one	12023	405233
2	let-two	12143	471042
3	eval	8108	226421
3	list	7995	284738
3	nested-list	8001	617711
3	quote	8232	226644
4	cond	7590	392157
4	define	7593	388928
4	if	7529	265982
4	lambda	7321	250112
4	let-lambda	7681	312277
5	differentiate	10972	570351
5	expand	10637	614502
5	simplify	10707	357312
5	substitute	10621	561488
6	commute-add	2620	170300
6	commute-mul	2669	173485
6	distribute	2597	259700
6	simplify-add-zero	2682	158238
6	simplify-add-zero-left	2731	161129
6	simplify-mul-one	2680	155440
6	simplify-mul-one-left	2617	151786
6	simplify-mul-zero	2598	153282
7	assoc-map	1640	70520
7	assoc-vector	1623	50043
7	comp	1646	70560
7	conj-vector	1673	50264
7	count-vector	1660	33024
7	filterv	1686	78840
7	get-map	1684	50458
7	get-vector	1623	32325
7	mapv-lambda	1693	83120
7	mapv-partial	1622	66399
7	reduce	1591	41046
7	thread-first	1704	54422
7	thread-last	1653	87530
